map,orbit_map,target_p,observable,xi_true,lambda,orbit_id,orbit_seed,k,i_star,series_len_m,N_k,mu_hat,sigma_hat,xi_hat,mu_star_hat,sigma_star_hat,n_S_all,S_all_min,S_all_max,segment,n_used,alpha,istar_rule
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,6,10343636155579740160,10,200.0,29991,149.0,1.449336122967472,0.045471908131173126,-0.4297459089270644,1.0387188267498086,0.015202822468558124,88,200.0,995.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,7,7375905743023819776,1,10.0,30000,3000.0,2.4720853792159234,0.6039193547362237,0.36343603601464214,2.1020445942387265,0.4694331986803647,199,10.0,1000.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,7,7375905743023819776,2,25.0,29999,1199.0,1.8342937554145964,0.08233847538644908,-0.8304883788579362,1.5560785184449668,0.17623305664713657,1,25.0,25.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,7,7375905743023819776,3,35.0,29998,857.0,1.5718264777378739,0.03963394268816599,-0.80912806820387,1.3843037865927683,0.062332735120652974,2,35.0,40.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,7,7375905743023819776,4,,29997,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,7,7375905743023819776,5,,29996,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,7,7375905743023819776,6,,29995,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,7,7375905743023819776,7,,29994,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,7,7375905743023819776,8,,29993,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,7,7375905743023819776,9,165.0,29992,181.0,1.456439618812508,0.04719707513047576,-0.4556385513206961,1.0504725469534837,0.018557591404389458,31,165.0,360.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,7,7375905743023819776,10,255.0,29991,117.0,1.451782595469675,0.03567107551632995,-0.21088112300851974,1.233344901542202,0.021931918753111818,59,255.0,650.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,8,12652959807021893632,1,15.0,30000,2000.0,2.7127220281571405,0.7021779393988632,0.3739279565463126,2.080111168094367,0.4656270532065849,198,15.0,1000.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,8,12652959807021893632,2,35.0,29999,857.0,1.855434286041076,0.06356053864511985,-0.8159924502652776,1.5521785918953994,0.17666193605803698,3,35.0,45.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,8,12652959807021893632,3,30.0,29998,999.0,1.5690406546270288,0.04012739852348332,-0.776909778281496,1.412901100973142,0.054985480704512354,1,30.0,30.0,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,8,12652959807021893632,4,,29997,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,8,12652959807021893632,5,,29996,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,8,12652959807021893632,6,,29995,,,,,,,0,,,test,30000,0.01,min
doubling-p1-3,doubling,0.3333333333333333,frechet,0.3,2.0,8,12652959807021893632,7,,29994,,,,,,,0,,,test,30000,0.01,min
